"Name","Old School","New School"
"Eduardo Salinas","UT Rio Grande Valley",""
"Dawson Salter","UNC Asheville",""
"Andre Martinez","UT Rio Grande Valley",""
"Graham Smiley","NC State","Appalachian State"
"Carson Case","Nevada",""
"Cole Plowman","Wichita State",""
"Damon Fernandez","UTSA",""
"Samuel Schlecht","St. Thomas",""
"Anderson Acinger","Texas Tech","LSU-Shreveport"
"Tyler Howry","Wichita State",""
"Jack Lamb","Longwood",""
"Tyler Lejeune","Arizona","Northwest Florida State"
"Thomas Groom","South Florida",""
"Jacob Clack","UL Monroe",""
"Frank Micallef","South Florida",""
"Tate Moody","Wichita State",""
"Christian Williams","USC Upstate",""
"Alex Mintz","UTSA",""
"Anthony Mierez","Central Connecticut State",""
"Kaydon Patrick","Central Arkansas",""
"Keaton Hopwood","Coastal Carolina",""
"Charles Barrow","Coastal Carolina",""
"Jackson Young","Wichita State",""
"Dominic Verrastro","Pittsburgh",""
"Ty Foree","Southern Indiana",""
"Jacob Woolf","Southern Indiana",""
"Stephen Park","UT Martin",""
"Johnathan Little","UL Monroe",""
"Dylan Quintilio","Kennesaw State",""
"Santino Rao","South Florida","Northwestern"
"Jacob Balsley","Kennesaw State",""
"Michael Douglas","UNC Asheville",""
"Christian Rice","Wofford",""
"Michael Ramos Ii","UT Rio Grande Valley",""
"Carson Mccoy","Louisiana",""
"Brayden Childress","Southern Illinois",""
"Caden Brown","Central Arkansas",""
"Cameron Lee","High Point",""
"Mitchell Sisk","Middle Tennessee",""
"Aaron Flink","Kennesaw State","USC Aiken"
"Peyton Havard","Louisiana",""
"Cooper Symmons","Fairleigh Dickinson",""
"Brendan Burke","Western Carolina",""
"Kyle Williams","Central Arkansas",""
"Aidan Larkin","Central Connecticut State",""
"Eric Chorba","Longwood",""
"Jack Cue","Louisiana Tech",""
"Jack Giovenco","Fairleigh Dickinson",""
"William Pope","Fairleigh Dickinson",""
"Jackson Walker","Louisiana Tech",""
"Davis Mortland","Western Carolina",""
"James Kirkpatrick","Harvard",""
"Sean Wininger","Central Connecticut State",""
"Ken Hemmer","San Francisco",""
"Kyle Stephenson","Kennesaw State","Georgia Highlands College"
"Cade Sadler","Kennesaw State","Northwestern Florida State"
"Aidan Quinn","Coastal Carolina",""
"John Inskeep","Virginia Military",""
"Adam Fine","Saint Joseph's",""
"Derian Morphew","Brown",""
"Hazen Lancaster","Western Carolina",""
"William Mrowka","George Mason",""
"Alexander Knapp","George Mason",""
"Caden Rector","Western Carolina",""
"Joseph Phan","Western Carolina",""
"Carlos Martinez","East Tennessee State",""
"Lucas Granger","St. Bonaventure",""
"Mason Sike","St. Bonaventure",""
"Trey Mclawhorn","BYU","Salt Lake (UT)"
"Nicholas Baker","Charleston Southern",""
"Colby Lunsford","Sacramento State",""
"Evan Grimes","Albany",""
"Timothy Mcclare","St. Bonaventure",""
"Tyler Curtis","St. Bonaventure",""
"Landen Johnson","Indiana State",""
"Dylan Fesperman","Arizona State",""
"Max Mendoza","Sacramento State",""
"Toren Herrick","Davidson",""
"Alex Flood","Presbyterian",""
"William Moore","Georgia","Georgia Highlands"
"Ryan Bhojwani","Virginia",""
"Aidan Dougherty","Oregon State",""
"Louis Berini","Greensboro College",""
"Michael Venditti","Pitt CC",""
"Brendan Bagwell","Radford",""
"Cameron Pool","McNeese",""
"Dylan Bowen","Middle Tennessee","Francis Marion"
"Braden Calise","Louisville",""
"Evan Avery","Central Connecticut State",""
"Aiden Myers","Navy",""
"Tobey Mcdonough","Brown",""
"Wyatt Morgan","Middle Tennessee",""
"Justin Weiss","Lafayette",""
"Cole Rodriguez","Toledo",""
"Brayden Siren","Middle Tennessee",""
"Avery Gunn","Middle Tennessee",""
"Jafar Vohra","Columbia",""
"Weston Eberly","Columbia","Georgia"
"Hayden Schott","Columbia","Texas A&M"
"Jason Mendler","High Point",""
"Mitchell Wood","Iowa","Yavapai CC (Ariz.)"
"Howard Sewell Jr","Manhattan",""
"Joshua Mccormick","Queens (NC)",""
"James Smith Jr.","Georgia",""
"Joseph Cava","Wagner",""
"John Genovesi","High Point",""
"Dj Heck","Iowa","Northwest Missouri State"
"Sawyer Voortman","Baylor",""
"Calvin Shepherd","Illinois",""
"Luke Fox","Holy Cross",""
"Darian Howard","LSU",""
"Andres Suarez","Ohio State",""
"Kellen Williamson","Utah Valley",""
"Jose Daza Guerra","Lindenwood",""
"Zachary Morris","Virginia Military",""
"Colton Bruns","Queens (NC)",""
"William Hanson","Queens (NC)",""
"Matthew Santarelli","Western Illinois","Heartland (IL)"
"Dalton Thomas","Lindenwood",""
"Jacob Fury","LSU",""
